S.No,Sentence,Annotator 1,Annotator 2,IAA,Char_Length,Word_Count,Is_English,label
4925,my question is: who's funding this?  no sane investor would give him the money needed to run such a operation especially in israel.,Non-Sarcastic,Non-Sarcastic,Agree,131,23,True,Non-Sarcastic
4927,"Ah ha! Someone who understands the application of information theory to biological organisms. By the biological specific definition of information, the genome of any organism is information about the environment in which it lives.",Non-Sarcastic,Non-Sarcastic,Agree,230,34,True,Non-Sarcastic
4930,"How does this have anything to do with marriage? Reproduction occurs outside of marriage and has done so long before man became civilized. 
 
 Permitting only gay marriages won't decrease numbers. Increased family planning and birth control will.",Non-Sarcastic,Non-Sarcastic,Agree,248,37,True,Non-Sarcastic
4931,"Really! Then I assume that you have read Darwin - at least On the Origin of Species. Otherwise you are babbling. Please cite specific passages from Darwin's books where he made ""morals and ethics"" a joke. Please also do the same for the works of Dawkins. Your assertion presumes that you have read the works of both men.",Non-Sarcastic,Non-Sarcastic,Agree,320,58,True,Non-Sarcastic
4934,"I'm against polygamy, marriages with underaged minors and marriages to livestock as well, so don't feel that you are the only ones not ""accomodated"". 
",Non-Sarcastic,Non-Sarcastic,Agree,152,24,True,Non-Sarcastic
4935,You could try to be a good person and nevermind about the hocus pocus stuff. I'm not tryimg to convince you of anything. The fact is that what you use a reasons to believe don't hold up under logical scrutiny. Don't justify faith with logic. That only cheapens faith.,Non-Sarcastic,Non-Sarcastic,Agree,267,49,True,Non-Sarcastic
4937,"Demographics plays a role, but it does not explain away the whole shift in the numbers.",Non-Sarcastic,Non-Sarcastic,Agree,87,16,True,Non-Sarcastic
4938,"So, if there was a way to know that that baby would be infertile it would be alright in your view to abort?",Non-Sarcastic,Non-Sarcastic,Agree,107,23,True,Non-Sarcastic
4940,then what did you mention? compensation against stolen goods is insurance against theft.,Non-Sarcastic,Non-Sarcastic,Agree,88,13,True,Non-Sarcastic
4941,"Your argument is moot. The Iraq population wasn't heavily armed, only the Taliban and soldiers.",Non-Sarcastic,Non-Sarcastic,Agree,95,15,True,Non-Sarcastic
4942,Yep. They're free to marry a member of the opposite sex just like any other American.,Sarcastic,Sarcastic,Agree,85,16,True,Sarcastic
4943,i live in the seattle area and the city boasts there are no differnce in the benefits..........can you cite a link? thanks.......,Non-Sarcastic,Non-Sarcastic,Agree,129,22,True,Non-Sarcastic
4945,"bush can't run again, so who's the idiot? emoticonxrolleyes  won't happen. i'm not stupid enough to buy a house below sea level in a known flood plain. ut don't let me influence your decisions. ;)  and you dnc parots have no originality.  hum, i'm not sure i know what a gop christian is. is that like a catholic with a twist? emoticonxclown",Sarcastic,Sarcastic,Agree,341,62,True,Sarcastic
4946,I didn't know neanderthals like you and Mr. Grimm had the social graces to know what to do with toilet paper.,Sarcastic,Sarcastic,Agree,109,21,True,Sarcastic
4948,"I think a more telling question would be, why the hell would you rather feel constantly threatened than feel safe? It seems completely idiotic to me.   Smiley",Non-Sarcastic,Non-Sarcastic,Agree,158,27,True,Non-Sarcastic
4949,"Actually, this data point is perfectly meaningless.NONE of the other information (or the conclusions) presented in this talk require ""26"".If we made it 260, does it change ANY of the other conclusions? No.A failure to recognize non-sequitur data tidbits is usually indicative of an argument that includes other errors.",Non-Sarcastic,Non-Sarcastic,Agree,318,49,True,Non-Sarcastic
4950,"How is that a affect of deterrence? Deterrence works by preventing people through the fear of consequences. A dead man has no fears. Furman Vs. Georgia, where the supreme court specifically noted that there is not a single piece of conclusive evidence that the penalty is a effective deterrent.",Non-Sarcastic,Non-Sarcastic,Agree,294,49,True,Non-Sarcastic
4951,More heretical misinformation from dear old cap0.  'Zionism is Racism' - a Dead Issue ,Sarcastic,Sarcastic,Agree,86,14,True,Sarcastic
4952,"the catholic position on evolution always seemed to me a rather supine cop-out, and i'm not at all surprised that some catholics are re-examining it. cardinal schonborn in his nyt article wrote schonborn has a fearsome reputation as an intellectual, but his demand that any scientific treatment of evolutionary theory has to start with an a priori assumption of design does not say a lot for his understanding of science.",Non-Sarcastic,Non-Sarcastic,Agree,421,70,True,Non-Sarcastic
4953,"And as such, the term as you use it is utterly meaningless as it could be applied to any cell or sell remnant of human origin.",Non-Sarcastic,Non-Sarcastic,Agree,126,26,True,Non-Sarcastic
4954,"Because they knew full well that the bulk of the confiscated weapons never came from the United States!I don't see why we should care how many weapons couldn't be traced back to America even though they came across the border, because it's a moot point. The identifying marks don't exist on them if they can't be traced, meaning the whole thing is a non-issue for everybody except those who have an axe to grind and rights to try and destroy.",Non-Sarcastic,Non-Sarcastic,Agree,442,80,True,Non-Sarcastic
4955,"Well, I'd say that since that sort of question don't have a pat and universal answer, then that's why they shouldn't have been asked in the first place, in this case. My view is that questions over a job like this should be about a person's qualifications",Non-Sarcastic,Non-Sarcastic,Agree,255,47,True,Non-Sarcastic
4956,"Logically incorrect. One can as many red balls as one likes, and still only have one green one.",Non-Sarcastic,Non-Sarcastic,Agree,95,18,True,Non-Sarcastic
4957,"Since he's commented on it several times now, and seems to have me confused with someone else, maybe he's channeling a past life or something--who knows? Better yet, who cares? :p",Sarcastic,Sarcastic,Agree,179,31,True,Sarcastic
4959,"Oops, my bad. You're right of course. Port is an interface on a computer. It's also a harbour, so you're wrong too! :P",Sarcastic,Sarcastic,Agree,118,23,True,Sarcastic
4960,"It's quite obvious that it's the ID proponents who have issues with definitions, particularly among themselves. Behe has changed his own definition of IC, and Dembski changed Behe's definition of IC.",Non-Sarcastic,Non-Sarcastic,Agree,199,31,True,Non-Sarcastic
4961,"actually, quite correct. i am surprised. i woudl have thought you more of the relativistic type.",Sarcastic,Sarcastic,Agree,96,16,True,Sarcastic
4962,"'two other sacramento-area police officers also were implicated in illegal weapons sales but not charged because they didn't turn large profits,' ah it's ok to sell illegal weapons as long as you don't make a big profit?  'california law bars citizens from buying handguns that have not been deemed safe by the state department of justice, but the law exempts peace officers.' the cops there are above the law? had to put a new hard drive and install,good to be back.",Sarcastic,Sarcastic,Agree,467,81,True,Sarcastic
4963,"i'm surprised that your picture doesn't precede the phrase 'ignorance of actual american history' in every encyclopedia on earth, simone. emoticonxdonno emoticonxfrazzled emoticonxic emoticonxwow",Sarcastic,Sarcastic,Agree,195,24,True,Sarcastic
4965,"OOOHH!! Such ANGER!!!emoticonXAngry
What is it about you righties that impels you to resort to ad hominem attacks on those whose opinion differs from yours?emoticonXKill
Must be that your quiver quivers for the lack of the arrows of substance.emoticonXAngel",Sarcastic,Sarcastic,Agree,259,39,True,Sarcastic
4966,"Not at all, I'm simply forcing those making the argument to address the undeniable facts.",Non-Sarcastic,Non-Sarcastic,Agree,89,15,True,Non-Sarcastic
4967,"scratches and bruises versus a gunshot wound. oh yeah, he was totally in the right to kill the kid.",Sarcastic,Sarcastic,Agree,99,19,True,Sarcastic
4969,"So, you got your tubes tied because ""With womens right's getting shredded in the debate over abortion, fewer and fewer women are going to want to even risk have sex with men at all. It'll cause a wave of abstinence and imprisonment that will cut succesive generations in half. That'll even further errode the solvancy of social security."" Why would one get their tubes tied if they were swearing off men? emoticonXConfused And do you really believe the rest of the load about imprisonment and SS solvancy erosion, too? emoticonXRolleyes",Sarcastic,Sarcastic,Agree,536,90,True,Sarcastic
4972,Tell this to those infants and adults in the netherlands who are being euthanized against their will. this is a logical conclusion of a quality of life ethic without a sanctity of life basis.,Non-Sarcastic,Non-Sarcastic,Agree,191,34,True,Non-Sarcastic
4973,lol...well why don't you use your brain and tell me how and why breasts formed then. why would they get selected for in the first place? ns can't see into the future. have any evidence of a reptile with breasts?,Sarcastic,Sarcastic,Agree,211,40,True,Sarcastic
4975,"Who is Allah, Alex? Great, I'll take 'things a terrorist god would do' for $1600 Alex.
",Sarcastic,Sarcastic,Agree,88,16,True,Sarcastic
4977,"Well. compared to you, I am a spiritual genus. Well.. so is 95% of the human race.",Sarcastic,Sarcastic,Agree,82,17,True,Sarcastic
4978,But didn't they tell you? They outsourced your job to me!,Sarcastic,Sarcastic,Agree,57,11,True,Sarcastic
4979,"I think we're seeing a culture war. Hardly seems a fair fight though, since only one side has any.:p",Sarcastic,Sarcastic,Agree,100,19,True,Sarcastic
4980,"Does this seem a little ironic to anyone else? Either becoming intoxicated is acceptable or it isn't, why does the method make one acceptable and practitioners of the other ""losers""? For the record I don't drink, smoke or partake of illegal drugs.",Non-Sarcastic,Non-Sarcastic,Agree,247,42,True,Non-Sarcastic
4981,"Just like the Brady Campaign. Often when trying to paint concealed carry holders as dangerous individuals, most instances they cite either never had a concealed carry permit to begin with, or the matters of the case were instances that lacked mens-rea and weren't crimes to begin with.",Non-Sarcastic,Non-Sarcastic,Agree,285,47,True,Non-Sarcastic
4982,It did not because it was not clear till the 1970s that horizontal gene transfer was something to be considered. Nobody knew the mechanism till that era. And of course HGT is just another form of variability to be taken into account.,Non-Sarcastic,Non-Sarcastic,Agree,233,42,True,Non-Sarcastic
4983,It's almost as hilarious as him believing in fairy tales written 3000 years ago.... That is how Easy's mind works kids ;),Sarcastic,Sarcastic,Agree,121,22,True,Sarcastic
4984,Honest question Arch: where is the problem with a potential variance of 10 billion years? I know this question may appear ridiculous to you but could you take the question in the spirit it was meant?,Non-Sarcastic,Non-Sarcastic,Agree,199,36,True,Non-Sarcastic
4985,"believe me, dear sir: there is not in the british empire a man who more cordially loves a union with great britain than i do. but, by the god that made me, i will cease to exist before i yield to a connection on such terms as the british parliament propose; and in this, i think i speak the sentiments of america.  thomas jefferson, november 29, 1775",Non-Sarcastic,Non-Sarcastic,Agree,350,67,True,Non-Sarcastic
4986,emoticonXGood I think the sarcasm my be lost as someone may not understand.,Non-Sarcastic,Non-Sarcastic,Agree,75,13,True,Non-Sarcastic
4987,"All sin undermines society, including illicit gay sex sin. Or have you forgotten Sodom and Gomorrah? Coming to a San Francisco bath house near you.",Sarcastic,Sarcastic,Agree,147,25,True,Sarcastic
4988,"I kinda took it as a little payback?Teen Birth Rates Higher in Bible Belt
gotta nice belly i guess.emoticonXFrazzled",Sarcastic,Sarcastic,Agree,117,19,True,Sarcastic
4989,"Well, many have argued that if you don't except a literal Genesis, you're damned. Perhaps not in this particular thread, but the arguments are esentially the same. I believe that the theological implications of that position are fair game for discussing the validity of creationism. ",Non-Sarcastic,Non-Sarcastic,Agree,283,45,True,Non-Sarcastic
4991,Are you saying kill the chicken by shooting it? Rather then just choking the chicken,Sarcastic,Sarcastic,Agree,84,15,True,Sarcastic
4992,"he was a partial-birth abortion provider that killed babies late term. in terms of fetal viability he might as well been killing babies right after they'd been born. i don't condone it, but i'm surprised it didn't happen sooner--one monster killed by another. it wasn't right, but what that sicko doctor was doing was certainly no better.",Non-Sarcastic,Non-Sarcastic,Agree,338,57,True,Non-Sarcastic
4994,Criminals continually inform the public that their greatest fear is a victim capable of fighting back against them and possibly killing them.,Non-Sarcastic,Non-Sarcastic,Agree,141,22,True,Non-Sarcastic
4995,"Well, I would agree that as many constitutional ammendments probably would not have passed, but I certainly don't think they all would not have been passed, and I don't think that Massachusettes allowing same-sex marriage was a bad thing. Constitutional ammendments are difficult to overcome, but no one can ever change a law if people aren't willing to take a stand and fight for it.Can you tell that I love the quote in Jyoshu's signature?",Non-Sarcastic,Non-Sarcastic,Agree,441,75,True,Non-Sarcastic
4996,"If only Ann Coulter could report a pie throwing to the admin like a spoiled little cry baby. emoticonXRolleyes 
She's probably more of a ""man"" than that though. :p 
Waxy",Sarcastic,Sarcastic,Agree,171,30,True,Sarcastic
4997,"Well of course. This spiritually dead church which exists to serve Man, but not God, must compromise biblical principles in order to attempt to preserve membership in an ever expanding secular humanist society. Just remember that no matter how many churches abandon the spiritual truths outlined in Gods Word in these last days, it does nothing to diminish or nullify that truth.",Non-Sarcastic,Non-Sarcastic,Agree,379,62,True,Non-Sarcastic
4998,"No it doesn't, as abortion WAS a legal option in this case.   This was not a legality issue, but an education issue.",Non-Sarcastic,Non-Sarcastic,Agree,116,22,True,Non-Sarcastic
5000,"Oh, I agree....private security companies are the answer. Very republican of you.",Sarcastic,Sarcastic,Agree,81,12,True,Sarcastic
5001,"Seems that there are a lot of his ""boys"" on the opposing ""team"".",Sarcastic,Sarcastic,Agree,64,13,True,Sarcastic
5002,"No, for murdering innocent babies in the womb by performing abortions that were not necessary but just being done as a means of birth control.........",Non-Sarcastic,Non-Sarcastic,Agree,150,25,True,Non-Sarcastic
5003,"that's fantastic! i say you go for it, and... um... pics or it didn't happen.",Sarcastic,Sarcastic,Agree,77,15,True,Sarcastic
5005,"No it doesn't. First, the changes may not be neutral. I will presume that you are intelligent enough to grasp that idea the mutations in and of themselves are neither advantagous nor disadvantageous, and the they have no purpose. Evolution happens when the mutations (and other mechanisms that increase genetic diversity) are acted upon by other mechanisms of evolution. Even in natural selection there is no purpose. Natural selection is differential reproductive success. Some organisms tend to produce more offspring because they have characteristics that give them an advantage in a particular environment.",Non-Sarcastic,Non-Sarcastic,Agree,610,93,True,Non-Sarcastic
5006,"originally posted by fracas only way to be more efficient is to continue to wage war preferentially against technologically similar sides are we back to a us-eu war? sorry i took that the wrong way, but regardless, the kind of thinking that leads to wars and seeing who has the largest most powerful military is precisely what i'd like to get away from in order to advance the military. yes we learn from war, but its wasteful, i'm proposing a not so wasteful military.",Non-Sarcastic,Non-Sarcastic,Agree,469,84,True,Non-Sarcastic
5007,"Right, because besides rape and health concerns these really are the only other reasons women have abortions. emoticonXRolleyes",Sarcastic,Sarcastic,Agree,127,18,True,Sarcastic
5008,"attn jessald: so after falling all over yourself in praise of our dear leader, do you realize that nothing he said will curb the rising premiums, deductibles, etc. why can't we have universal healthcare or singlepayer or public options who is gonna control these 'exchanges' --- another corporate industry invention",Sarcastic,Sarcastic,Agree,315,50,True,Sarcastic
5009,"Show me where healthcare can be found in the Constitution as a guaranteed right. Just saying so doesn't cut it. We are (or were, any way) a nation of laws.",Non-Sarcastic,Non-Sarcastic,Agree,155,30,True,Non-Sarcastic
5010,"Yes and no. Metaphorical creationism can't be disproved period as there are no hard facts to disprove. Literal creationism can be disproven on a number of factors, from the timeline, to events such as the flood.",Non-Sarcastic,Non-Sarcastic,Agree,211,36,True,Non-Sarcastic
5011,"So have I, since I know that evolution has and does take place. But I catch it from both sides because I don't believe the scientific explanation of the origins of life or the beginning of intelligent awareness.",Non-Sarcastic,Non-Sarcastic,Agree,211,38,True,Non-Sarcastic
5012,"ummmmmmm, because it was built in 1932-1935, and has nothing whatsoever to do with the founders or early government leaders, nor with what they believed was correct? you really are the master of the art of self-pwn, archie.",Sarcastic,Sarcastic,Agree,223,38,True,Sarcastic
5013,Said like a cruel evil person who has no concern for his fellow man.,Non-Sarcastic,Non-Sarcastic,Agree,68,14,True,Non-Sarcastic
5014,"Strawman. Scientists deal with scientific issues.. The people who are trying to promote ID are doing it for religious purposes, and have no science behind their claims.   Science shoudl be taught in science class, not religion.   If/when the proponents actually GET to the point their ideas are science, then it can be looked at. Until then, warmed over creationsism does not belong in the science class.",Non-Sarcastic,Non-Sarcastic,Agree,404,66,True,Non-Sarcastic
5016,It is clear that the profetallifers wish to make the pregnant woman a slave to her fetus.,Non-Sarcastic,Non-Sarcastic,Agree,89,17,True,Non-Sarcastic
5017,"So parthenegenic births are always female. Where did the X chromosome come from? Is this another case of ""POOF, it was a miracle"" when faced with reality?",Sarcastic,Sarcastic,Agree,154,27,True,Sarcastic
5018,"Jesus was then what he is now: the Logos of God (Philo, quis rerum divinarum heres 42.405), the heavenly High Priest (Hebrews), the culmination of Gods eternal plan (Ro. 16:25), the secret mystery only now, after his sacrifice, revealed through revelation and scripture (1 Cor 2:6-13).",Non-Sarcastic,Non-Sarcastic,Agree,285,46,True,Non-Sarcastic
5019,"are you telling me you cannot figure out how creating a gay-hostile atmosphere causes and condones anti-gay bullying? forsooth! butter wouldn't melt in your mouth, would it.",Sarcastic,Sarcastic,Agree,173,27,True,Sarcastic
5020,"Just exactly who is this ""we"" you claim to speak for, old chap?
Seems as though you are only speaking for yourself and the few remaining hard right religious lunatic radical fringe wingnuts.emoticonXAngry
You had better get used to the phrase ""President Obama""; you will be hearing it a lot for the next 8 years.emoticonXGood",Sarcastic,Sarcastic,Agree,327,55,True,Sarcastic
5022,oh man! what is going on?  i vote for the 2nd coming of christ is near!,Sarcastic,Sarcastic,Agree,71,16,True,Sarcastic
5025,"just isn't the case in countries with nationalised health care, yet those countries also have a large number of pharmaceutical companies that are based there.",Non-Sarcastic,Non-Sarcastic,Agree,158,25,True,Non-Sarcastic
5026,"The reported killings in European countries have rivaled the levels of Columbine. Quite a feat for a country with strict gun control laws. How can even a rare and isolated incident in a country with draconian gun control, meet or exceed something that's supposedly relatively common in America?",Sarcastic,Sarcastic,Agree,294,48,True,Sarcastic
5027,"boy that's the pot calling the kettle black. Darwinian science abandoned living, breeding animals as units of study 7 decades ago. Instead they study genes and bacteria and viruses and rotting bones. Freaks.",Sarcastic,Sarcastic,Agree,207,33,True,Sarcastic
5028,"emoticonXFrazzled
You call gays ""degenerate"", and then complain about ""demonizing"" others???
emoticonXDonno",Sarcastic,Sarcastic,Agree,109,12,True,Sarcastic
5029,"lazy jason, darling, but you very sadly lack one item of attractiveness, the freshness and beauty of innocence.",Sarcastic,Sarcastic,Agree,111,18,True,Sarcastic
5030,why are you trying to turn this into a religious debate? no one said anything about finding jesus. all you have done is show your anti-god prejudice.,Non-Sarcastic,Non-Sarcastic,Agree,149,27,True,Non-Sarcastic
5031,"Clear up some more muddled thinking for jo. As stated, that is from the Declaration of Independence. When was it penned?The Constitution would not have been ratified without the BOR being included. When were those rights penned and when was it adopted? The Declaration simply told England why we were separating and why, it had nothing to do with the BOR.",Non-Sarcastic,Non-Sarcastic,Agree,355,61,True,Non-Sarcastic
5032,"Hey Matt, if that paintbrush were any broader, you could paint a room in just five minutes",Sarcastic,Sarcastic,Agree,90,17,True,Sarcastic
5033,"Hey sparky, exactly how do you think they were supposed ""to protect"" these thugs? How many debates do you have to lose like the school claims on the student duck hunter before you begin to say you are either wrong or completely illiterate? You gunning for one of the new yellow CS medals?",Sarcastic,Sarcastic,Agree,288,53,True,Sarcastic
5034,"Duh! Maybe the folks who wrote the Book of Yasher had access to Manetho. emoticonXRolleyes 
",Sarcastic,Sarcastic,Agree,93,15,True,Sarcastic
5036,"If science deals with how information is gathered, different ways of analyzing, and different hypothesis, then it involves worldviews. The base for the worldview of a sizable part of the population should not be excluded. Maybe in Saddam Hussien's Iraq, maybe in communist Russia, but not in the United States.",Non-Sarcastic,Non-Sarcastic,Agree,310,50,True,Non-Sarcastic
5038,"Anyone speaking English could well be an illegal from the UK then, right? I guess Puerto Ricans better watch out too.",Sarcastic,Sarcastic,Agree,117,21,True,Sarcastic
5039,"wow. i'm not really that surprised at something like this happening. most anti-gay bigots i've met seem rather petty, and i wouldn't put it above many of them to attack a person like this. and boy, this really shows these 'christians' sure know how to follow christ's teachings. emoticonxrolleyes",Sarcastic,Sarcastic,Agree,296,49,True,Sarcastic
5040,"Well, ""reasonable"" is clearly subjective... So the authors of the letter are practicly saying that any gun laws not interfering with the state militia would be permited according to the second amendment. But that gun laws obviously should be reasonable. But what reasonable is, is best left to the democratic will of the people. Or am I reading it wrong?",Non-Sarcastic,Non-Sarcastic,Agree,354,60,True,Non-Sarcastic
5041,"Free traders, rummers, smugglers, disdainers of law, pirates, essentially. But wait! Weren't the pirates a Marxist lot? Aren't there rumors about Black Beard and his communistic leanings? Smugglers And Smuggling in Cornwall",Sarcastic,Sarcastic,Agree,223,32,True,Sarcastic
5042,"So I take it you don't accept my challenge on the basis that it is impossible? Why is it impossible? Or better yet, why don't we al just evolve into perfect, anti-sinning creatures with 500 IQ points a piece?
",Sarcastic,Sarcastic,Agree,210,39,True,Sarcastic
5043,"when you were asking this question, was it somewhat in reference to bill clinton? personally, i think that whole thing was blown out of proportion. is that the type of thing that you're saying should be investigated?",Non-Sarcastic,Non-Sarcastic,Agree,216,37,True,Non-Sarcastic
5044,"No more hypocritical than somebody actively harping on me for citing the Huffington Post, but then HAVING NO negative comment for the RNC embracing NewsMax...But here's an idea.You probably wouldn't vote for me cause I cited Huffington Post, right?So logically, one should ALSO NOT VOTE for Republicans who embrace NewsMax, right???emoticonXDonnoNah. I don't expect that kind of consistency...",Sarcastic,Sarcastic,Agree,393,58,True,Sarcastic
5046,Oh really? What evidence do you have? These people started out as soldiers in the army.,Non-Sarcastic,Non-Sarcastic,Agree,87,16,True,Non-Sarcastic
5047,"what did sanger say specifically that leads you to this conclusion? the preceding is from wikipedia. now, perchance, does 'cleaner' possibly mean having been exposed to enough medical information to be aware of veneral diseases so as to know how to avoid them? do you have an aversion to accurate information about stds being available?",Non-Sarcastic,Non-Sarcastic,Agree,336,55,True,Non-Sarcastic
5048,"wow ursus, uh, hmm, it's like i'm amazed but almost not surprised to hear that. i think it explains a lot. i wish and hope that they will realize that most non-religious people are rational, good-natured, well-adjusted folks that mostly want everyone to get along. (insert campfire song here) and that a lot of them fear a theistic government that limits freedom.",Non-Sarcastic,Non-Sarcastic,Agree,363,62,True,Non-Sarcastic
5051,and you don't think 9/11/01 was and attack on this country huh? emoticonxrolleyes  you are exactly the kind of liberal carl rove was talking about in his speech the other day.......,Sarcastic,Sarcastic,Agree,181,31,True,Sarcastic
5052,"Was she on her knees, taking lessons from you...or was she skilled already?",Sarcastic,Sarcastic,Agree,75,13,True,Sarcastic
5053,I know ... I know. I agree with you that it's sad more of those people couldn't or didn't take advantage of concealed carry to help prevent so many deaths. That needs to change along with education so more people can defend themselves.,Non-Sarcastic,Non-Sarcastic,Agree,235,43,True,Non-Sarcastic
5055,"You may see a vast differene, many do not. The ""moral"" grounds for many is simply the justification for their homophobia.",Non-Sarcastic,Non-Sarcastic,Agree,121,21,True,Non-Sarcastic
5056,The frequency of legitimate ones doesn't warrant my walking around armed all the time IMO. How does my being unarmed put you at risk? Think I should be prepared to shoot someone for you in case of emergency? Touchee yourself.,Sarcastic,Sarcastic,Agree,225,40,True,Sarcastic
5057,"persecution on political grounds? we are talking about a kingpin of russian organized crime here. he has been indicted in russia for fraud and political corruption (bribing politicians) and there is absolutly no question that he is guilty as sin. now he is hiding in britain and actively planning a violent coup in order to overthrow the elected government...and he lays all this out to a british newspaper.  political persecution if he returns? probably not. execution for treason? that one seems more likely.  in the extradition rhetoric arena, the russians are looking a lot more reasonable then the british.",Non-Sarcastic,Non-Sarcastic,Agree,611,99,True,Non-Sarcastic
5058,"And like I said, your opinion is worth exactly NOTHING. emoticonXRolleyes",Sarcastic,Sarcastic,Agree,73,11,True,Sarcastic
5059,good thing this argument has never been done!...oh wait. With that logic we should make everything legal. You are much better off making theft legal and safe (no more guns needed!) than to have it illegal and dangerous.,Sarcastic,Sarcastic,Agree,219,38,True,Sarcastic
5060,"i just disproved the whole thing! fine, what would happen if i poked both of your eyes out? its one eye for one eye.",Sarcastic,Sarcastic,Agree,116,24,True,Sarcastic
5062,"Responding to the question in the topic, I tend to use the case of Baby Fae.
 
 Freethoughtradio also has short blurbs called ""What's the Harm?"" that gives some examples of ""the natural harm caused by supernatural belief.""",Non-Sarcastic,Non-Sarcastic,Agree,224,37,True,Non-Sarcastic
5063,Apes are sentient...guess your theory is out the window. Either that or Apes need to be freed from the zoo.,Sarcastic,Sarcastic,Agree,107,20,True,Sarcastic
5065,could you see language evolving in non social animals? it wouldnt have a reason to.,Non-Sarcastic,Non-Sarcastic,Agree,83,15,True,Non-Sarcastic
5068,"Maybe you should form a religion for gays only where all members have to be married to each other...then push for the issue on religious freedoms rights.
;)",Sarcastic,Sarcastic,Agree,157,28,True,Sarcastic
5069,Actually in terms of populations we're the same people as the Irish. If you want tyranny try the oppression of the Native Americans. Did you know that the Natives and the blacks were both on the British side during the War of Independence? Amazing how we tyrants command such free support huh....,Sarcastic,Sarcastic,Agree,296,52,True,Sarcastic
5071,"Like Big Bad John McCain?
Who's been a dependent of Big Daddy gubment all his life?",Sarcastic,Sarcastic,Agree,84,16,True,Sarcastic
5072,"Now name one country with universal socialized healthcare with a population of 300 million citizens modulus, just one if you can. Your exemplar countries are tiny in comparison to us so lets get realistic and compare apples to apples for once, ok?",Non-Sarcastic,Non-Sarcastic,Agree,247,42,True,Non-Sarcastic
5073,"i am well aware (and sympathetic) to your hatred of jews, negros, gays, gypsies, etc.; but i am shocked and dismayed at your ignorance (and/or) intolerance of hermaphrodites.  hitler; you sir, have lost my respect.",Sarcastic,Sarcastic,Agree,214,35,True,Sarcastic
5074,"I like the Grape Flavored best, But I won't be drinking any KoolAid with you or one of your religious Cult Fanatics... 
And why would I be embarrassed about telling the truth?....",Sarcastic,Sarcastic,Agree,180,32,True,Sarcastic
5076,"That's not evolution. Life has evolved in the lab, many times.",Non-Sarcastic,Non-Sarcastic,Agree,62,11,True,Non-Sarcastic
5077,"ICBM, but I believe the termites make up the largest land-based biomass on earth.",Non-Sarcastic,Non-Sarcastic,Agree,81,14,True,Non-Sarcastic
5078,Are we talking about the place Jesus and the Jews believed in or the one later Christians made up to keep people in check?,Sarcastic,Sarcastic,Agree,122,24,True,Sarcastic
5080,"how did cjd come about again? i know it had somethig to do with cows and chickens, but i forget the details.",Non-Sarcastic,Non-Sarcastic,Agree,108,22,True,Non-Sarcastic
5081,"Actually, 2 viruses and a bacteria have been constructed by building the genome from nucleic acids.",Non-Sarcastic,Non-Sarcastic,Agree,99,16,True,Non-Sarcastic
5082,"Well, if some of the implications of quantum theory are correct (and don't quote me on this), then some of those things are actually possible. However, as any scientist worth his/her salt will tell you, just because something is possible doesn't mean it's definite. I don't see any proof of those things happening any time soon, either, but they're fun to think about, aren't they?",Non-Sarcastic,Non-Sarcastic,Agree,381,65,True,Non-Sarcastic
5083,"in what passages does jesus refer to his junior partner? i'm not saying he did not, rather, i'm not recalling off the top of my head any specific mention of the holy ghost by jesus.",Non-Sarcastic,Non-Sarcastic,Agree,181,35,True,Non-Sarcastic
5085," I think the court decision in Nunn vs. State of Georgia did the best summation of this right!"" Yeah, all liberals love overturned court cases that never saw the light through the appeals process. I think Ohio and it's Constitution finally prevailed and now they carry open or concealed.You wasn't on that Cessna were you? ",Sarcastic,Sarcastic,Agree,323,55,True,Sarcastic
5086,"Well, since the definition of marriage involves ""bringing together to make one"" then that doesn't make sense. But, whatever, nothings stopping you. Marry yourself. I just did (in the eyes of god).",Sarcastic,Sarcastic,Agree,196,32,True,Sarcastic
5088,"The slaves, of course, were sentient humans, not mindless collections of tissue. certainly, horses, cattle etc have mre sentience than a fetus, yet you are not calling them ""slaves.""
So once again, hyperbole is the PL answer. Nice going.",Sarcastic,Sarcastic,Agree,238,39,True,Sarcastic
5089,"oh yeah, lets just say all the main people on comedy central.",Sarcastic,Sarcastic,Agree,61,12,True,Sarcastic
5090,i love how point-whoring/farming is allowed when it's in the form of this.,Sarcastic,Sarcastic,Agree,74,13,True,Sarcastic
5091,"Uh, let's see. The one thing this all ""equates to"" is you need a dictionary?",Sarcastic,Sarcastic,Agree,76,15,True,Sarcastic
5092,So biology didn't exist before the theory of evolution was formulated?,Sarcastic,Sarcastic,Agree,70,11,True,Sarcastic
5093,The deafening screech of moving goalposts. DC is not the argument here.   YOU claimed the following:   You were wrong. Eat your crow like a good little boy.,Sarcastic,Sarcastic,Agree,156,27,True,Sarcastic
5094,"compared to speaking all that is into existence, these events were childs-play for my father in heaven. these are much easier to believe/accept than your magic of the big bang event spontaneously occurring with no trigger or determinable origin. then the spontaneous appearance of life on earth from that puddle of primordial ooze. oh yes snakepit, as easy pointed out so poignantly, that's not believing in magic, is it!!!",Sarcastic,Sarcastic,Agree,423,69,True,Sarcastic
5095,I think its actually the states job...the judiciary does need to overturn Roe v. Wade to get this done though...which doesn't mean it becomes illegal.,Non-Sarcastic,Non-Sarcastic,Agree,150,25,True,Non-Sarcastic
